time,patchID,bWeightHuman,bWeightZoo,bWeightZootox,kappa
169,8,0,0,0,0
169,9,0,0,0,0
170,1,497,0,0,0.00030241935483871
170,2,492,0,0,0.000916500731186339
170,3,1,0,0,0
170,4,0,0,0,0
170,5,0,0,0,0
170,6,4,0,0,0
170,7,1,0,0,0
170,8,0,0,0,0
170,9,0,0,0,0
171,1,496,0,0,0.000303029071279917
171,2,491,0,0,0.000918363545277365
171,3,2,0,0,0
171,4,0,0,0,0
171,5,0,0,0,0
171,6,5,0,0,0
171,7,1,0,0,0
171,8,0,0,0,0
171,9,0,0,0,0
172,1,495,0,0,0.000303642482972283
172,2,490,0,0,0.000920241558255668
172,3,3,0,0,0
172,4,0,0,0,0
172,5,0,0,0,0
172,6,6,0,0,0
172,7,1,0,0,0
172,8,0,0,0,0
172,9,0,0,0,0
173,1,495,0,0,0.000303643722187823
173,2,491,0,0,0.000918371164069767
173,3,4,0,0,0
173,4,0,0,0,0
173,5,0,0,0,0
173,6,4,0,0,0
173,7,1,0,0,0
173,8,0,0,0,0
173,9,0,0,0,0
174,1,495,0,0,0.000303643724691289
174,2,492,0,0,0.000916500754398516
174,3,4,0,0,0
174,4,0,0,0,0
174,5,0,0,0,0
174,6,3,0,0,0
174,7,1,0,0,0
174,8,0,0,0,0
174,9,0,0,0,0
175,1,495,0,0,0.000303643724696346
175,2,494,0,0,0.000912786438774086
175,3,3,0,0,0
175,4,0,0,0,0
175,5,0,0,0,0
175,6,3,0,0,0
175,7,0,0,0,0
175,8,0,0,0,0
175,9,0,0,0,0
176,1,494,0,0,0.000304258388106673
176,2,490,0,0,0.000920230176405661
176,3,4,0,0,0
176,4,0,0,0,0
176,5,0,0,0,0
176,6,7,0,0,0
176,7,0,0,0,0
176,8,0,0,0,0
176,9,0,0,0,0
177,1,493,0,0,0.000304876791862285
177,2,491,0,0,0.000612872159218749
177,3,6,0,0,0
177,4,1,0,0,0
177,5,0,0,0,0
177,6,4,0,0,0
177,7,0,0,0,0
177,8,0,0,0,0
177,9,0,0,0,0
178,1,495,0,0,0.000303646215741136
178,2,489,0,0,0.000614750249814353
178,3,6,0,0,0
178,4,1,0,0,0
178,5,0,0,0,0
178,6,4,0,0,0
178,7,0,0,0,0
178,8,0,0,0,0
178,9,0,0,0,0
179,1,495,0,0,0.00030364372972877
179,2,489,0,0,0.000614754090490418
179,3,6,0,0,0
179,4,1,0,0,0
179,5,1,0,0,0
179,6,3,0,0,0
179,7,0,0,0,0
179,8,0,0,0,0
179,9,0,0,0,0
180,1,494,0,0,0.00030425838811686
180,2,489,0,0,0.00092150256460223
180,3,7,0,0,0
180,4,1,0,0,0
180,5,0,0,0,0
180,6,4,0,0,0
180,7,0,0,0,0
180,8,0,0,0,0
180,9,0,0,0,0
181,1,495,0,0,0.00030364496644064
181,2,489,0,0,0.000615381395837632
181,3,5,0,0,0
181,4,1,0,0,0
181,5,0,0,0,0
181,6,5,0,0,0
181,7,0,0,0,0
181,8,0,0,0,0
181,9,0,0,0,0
182,1,496,0,0,0.00030303154227105
182,2,489,0,0,0.000614755381177582
182,3,6,0,0,0
182,4,1,0,0,0
182,5,0,0,0,0
182,6,3,0,0,0
182,7,0,0,0,0
182,8,0,0,0,0
182,9,0,0,0,0
