time,state,patch1,patch2,patch3,patch4,patch5,patch6,patch7,patch8,patch9
259,M,190.635175398946,207.494336627355,0,0,0,0,0,0,0
259,Y,0.161104896252067,0.492778946822721,0,0,0,0,0,0,0
259,Z,0.0490344350807368,0.155313122390334,1.78724566839587e-12,4.66592012887399e-12,2.45164014869118e-12,1.78724566839587e-12,4.66592012887399e-12,2.45164014869118e-12,1.78724566839587e-12
260,M,191.371657859051,202.044902964619,0,0,0,0,0,0,0
260,Y,0.160577200800878,0.493286763369635,0,0,0,0,0,0,0
260,Z,0.0492527128970584,0.155295449188718,1.60852110155628e-12,4.19932811598659e-12,2.20647613382206e-12,1.60852110155628e-12,4.19932811598659e-12,2.20647613382206e-12,1.60852110155628e-12
261,M,187.534492073146,196.240412668157,0,0,0,0,0,0,0
261,Y,0.159789689631591,0.492212381372828,0,0,0,0,0,0,0
261,Z,0.0497084637507983,0.155383505784152,1.44766899140065e-12,3.77939530438793e-12,1.98582852043985e-12,1.44766899140065e-12,3.77939530438793e-12,1.98582852043985e-12,1.44766899140065e-12
262,M,186.781042865832,188.316371401342,0,0,0,0,0,0,0
262,Y,0.15901958968605,0.489292595348072,0,0,0,0,0,0,0
262,Z,0.049947787526966,0.155641009030431,1.30290209226059e-12,3.40145577394914e-12,1.78724566839587e-12,1.30290209226059e-12,3.40145577394914e-12,1.78724566839587e-12,1.30290209226059e-12
263,M,184.302938579248,187.484734261208,0,0,0,0,0,0,0
263,Y,0.158154813284521,0.486367352399011,0,0,0,0,0,0,0
263,Z,0.0500491280427519,0.15558339222313,1.17261188303453e-12,3.06131019655423e-12,1.60852110155628e-12,1.17261188303453e-12,3.06131019655423e-12,1.60852110155628e-12,1.17261188303453e-12
264,M,182.072644721324,189.436260835087,0,0,0,0,0,0,0
264,Y,0.157254549136748,0.4843091719532,0,0,0,0,0,0,0
264,Z,0.0501987808270222,0.155269025787946,1.05535069473108e-12,2.7551791768988e-12,1.44766899140065e-12,1.05535069473108e-12,2.7551791768988e-12,1.44766899140065e-12,1.05535069473108e-12
265,M,184.565380249191,185.792634751578,0,0,0,0,0,0,0
265,Y,0.1565880190071,0.481652143107954,0,0,0,0,0,0,0
265,Z,0.0504984664735658,0.154886416467558,9.49815625257968e-13,2.47966125920892e-12,1.30290209226059e-12,9.49815625257968e-13,2.47966125920892e-12,1.30290209226059e-12,9.49815625257968e-13
266,M,180.508842224272,185.21337127642,0,0,0,0,0,0,0
266,Y,0.155656839276306,0.479304418365168,0,0,0,0,0,0,0
266,Z,0.0505062124845806,0.15399476821118,8.54834062732171e-13,2.23169513328803e-12,1.17261188303453e-12,8.54834062732171e-13,2.23169513328803e-12,1.17261188303453e-12,8.54834062732171e-13
267,M,176.857958001845,182.892034148778,0,0,0,0,0,0,0
267,Y,0.15446290523125,0.476616772113843,0,0,0,0,0,0,0
267,Z,0.0506492582695256,0.153522641992136,7.69350656458954e-13,2.00852561995923e-12,1.05535069473108e-12,7.69350656458954e-13,2.00852561995923e-12,1.05535069473108e-12,7.69350656458954e-13
268,M,172.67216220166,189.8028307339,0,0,0,0,0,0,0
268,Y,0.15304792496802,0.475721591618398,0,0,0,0,0,0,0
268,Z,0.0508254181278289,0.153341913130253,6.92415590813059e-13,1.8076730579633e-12,9.49815625257968e-13,6.92415590813059e-13,1.8076730579633e-12,9.49815625257968e-13,6.92415590813059e-13
269,M,179.704945981494,187.02254766051,0,0,0,0,0,0,0
269,Y,0.152405255353471,0.474042966760408,0,0,0,0,0,0,0
269,Z,0.0507721878388478,0.153992944705742,6.23174031731753e-13,1.62690575216697e-12,8.54834062732171e-13,6.23174031731753e-13,1.62690575216697e-12,8.54834062732171e-13,6.23174031731753e-13
270,M,180.634451383345,185.420292894459,0,0,0,0,0,0,0
270,Y,0.152022494881166,0.472322704189985,0,0,0,0,0,0,0
270,Z,0.0505564235239415,0.154639255039629,5.60856628558578e-13,1.46421517695028e-12,7.69350656458954e-13,5.60856628558578e-13,1.46421517695028e-12,7.69350656458954e-13,5.60856628558578e-13
271,M,174.27100624501,186.678263605013,0,0,0,0,0,0,0
271,Y,0.151154461447414,0.471085881259024,0,0,0,0,0,0,0
271,Z,0.0503908271000436,0.154798613253262,5.0477096570272e-13,1.31779365925525e-12,6.92415590813059e-13,5.0477096570272e-13,1.31779365925525e-12,6.92415590813059e-13,5.0477096570272e-13
272,M,173.943905620509,186.010437244512,0,0,0,0,0,0,0
272,Y,0.150404648605949,0.4699947792552,0,0,0,0,0,0,0
